launch_time,title,vehicle,launch_site,return_site,mission_type,status,return_time,link
2025-08-22T08:44:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-17-6
2025-08-24T02:45:00Z,CRS-33 Mission,Falcon 9,"SLC-40, Florida",Droneship,resupply,final,FEBRUARY 2026,crs33
2025-08-26T11:53:00Z,NAOS Mission,Falcon 9,"SLC-4E, California",Landing Zone,commercialSatellite,final,,naos
2025-08-26T18:30:00Z,Starship's Tenth Flight Test,Starship,"Pad 1, Starbase",Expended,starship,final,,starship-flight-10
2025-08-27T07:10:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-56
2025-08-28T01:12:00Z,Starlink Mission,Falcon 9,"LC-39A, Florida",Droneship,starlink,final,,sl-10-11
2025-08-29T21:59:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-17-7
2025-08-31T07:49:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-14
2025-09-02T20:51:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-17-8
2025-09-03T07:56:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-22
2025-09-05T08:32:00Z,Starlink Mission,Falcon 9,"LC-39A, Florida",Droneship,starlink,final,,sl-10-57
2025-09-06T08:42:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-17-9
2025-09-10T07:12:00Z,SDA's First Tranche 1 Mission,Falcon 9,"SLC-4E, California",Droneship,nssl,final,,sda-t1tl-b
2025-09-11T21:56:00Z,Nusantara Lima Mission,Falcon 9,"SLC-40, Florida",Droneship,commercialSatellite,final,,nusantaralima
2025-09-13T10:55:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-17-10
2025-09-14T18:11:00Z,NG-23 Mission,Falcon 9,"SLC-40, Florida",Landing Zone,resupply,final,,ng23
2025-09-18T05:30:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-61
2025-09-19T09:31:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-17-12
2025-09-21T05:20:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-27
2025-09-22T10:38:00Z,NROL-48 Mission,Falcon 9,"SLC-4E, California",Landing Zone,nssl,final,,nrol48
2025-09-24T07:30:00Z,IMAP Mission,Falcon 9,"LC-39A, Florida",Droneship,science,final,,imap
2025-09-25T04:39:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-15
2025-09-25T23:26:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-17-11
2025-09-28T19:04:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-20
2025-10-03T09:06:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-39
2025-10-07T02:46:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-59
2025-10-07T20:54:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-17
2025-10-13T18:23:00Z,Starship's Eleventh Flight Test,Starship,"Pad 1, Starbase",Expended,starship,final,,starship-flight-11
2025-10-13T20:08:00Z,KF-03 Mission,Falcon 9,"SLC-40, Florida",Droneship,commercialSatellite,final,,kf-03
2025-10-15T16:06:00Z,SDA's Tranche 1 Transport Mission,Falcon 9,"SLC-4E, California",Droneship,nssl,final,,sda-t1tl-c
2025-10-16T05:27:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-52
2025-10-19T13:37:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-17
2025-10-19T14:24:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-19
2025-10-22T07:16:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-5
2025-10-23T21:30:00Z,SpainSat NG II Mission,Falcon 9,"SLC-40, Florida",Expended,commercialSatellite,final,,spainsatngii
2025-10-25T07:20:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-12
2025-10-26T11:00:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-21
2025-10-27T17:43:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-21
2025-10-29T12:35:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-10-37
2025-10-31T13:41:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-23
2025-11-02T01:09:00Z,Bandwagon-4 Mission,Falcon 9,"SLC-40, Florida",Landing Zone,rideshare,final,,bandwagon-4
2025-11-05T19:31:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-6-81
2025-11-06T13:13:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-14
2025-11-09T03:10:00Z,Starlink Mission,Falcon 9,"LC-39A, Florida",Droneship,starlink,final,,sl-10-51
2025-11-10T21:21:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-6-87
2025-11-14T22:08:00Z,Starlink Mission,Falcon 9,"LC-39A, Florida",Droneship,starlink,final,,sl-6-89
2025-11-15T01:44:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-6-85
2025-11-16T21:21:00Z,Sentinel-6B Mission,Falcon 9,"SLC-4E, California",Landing Zone,science,final,,sentinel-6b
2025-11-18T19:12:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-6-94
2025-11-20T22:39:00Z,Starlink Mission,Falcon 9,"LC-39A, Florida",Droneship,starlink,final,,sl-6-78
2025-11-22T02:53:00Z,Starlink Mission,Falcon 9,"SLC-40, Florida",Droneship,starlink,final,,sl-6-79
2025-11-23T00:48:00Z,Starlink Mission,Falcon 9,"SLC-4E, California",Droneship,starlink,final,,sl-11-30
2025-11-28T10:44:00Z,Transporter-15 Mission,Falcon 9,"SLC-4E, California",Droneship,rideshare,final,,transporter15
2025-12-01T02:44:00Z,Starlink Mission,Falcon 9,"LC-39A, Florida",Droneship,starlink,final,,sl-6-86
